
===============================================
Log Date 28.11.19 : 09:00

Size of IO:  1024       IO-Simulation is OFF

--- Driver Table ---
  DrvId  26        Ready  1
  Name    PNIODRV  File            Func            Ver     2.03
  DrvErr 00000000  RdErr 00000000  WrErr 00000000


---ANALOG data table
IN (Value,Res,Typ) / OUT (Value,Res,Typ)
1:  0000  00  00       0000  00  00
2:  0000  00  00       0000  00  00
3:  0000  00  00       0000  00  00
4:  0000  00  00       0000  00  00
5:  0000  00  00       0000  00  00
6:  0000  00  00       0000  00  00
7:  0000  00  00       0000  00  00
8:  0000  00  00       0000  00  00

---Output logging table
   Current Timestamp : 41085890
   Sample Rate       : 2 ms
Timestamp  Index
38070662 :  -1023
38094686 :  -1022
38094686 :   1023
38094746 :  -1021
38109614 :   -147
38109638 :   1022
38109638 :  -1023
38111870 :  -1022
38111870 :   1023
38112086 :   1022
38112086 :  -1023
38115146 :   -997
38118314 :  -1022
38118314 :   1023
38118494 :   1022
38118494 :  -1023
38121878 :  -1022
38121878 :   1023
38123054 :   1022
38123054 :  -1023
38127326 :  -1022
38127326 :   1023
38127878 :   1022
38127878 :  -1023
38128382 :  -1022
38128382 :   1023
38133218 :  -1011
38133218 :   1010
38133230 :   -137
38133242 :  -1012
38133746 :    137
38142050 :   1011
38143622 :   1012
38143634 :   -137
38143746 :  -1010
38143754 :    137
38145098 :   1022
38145098 :  -1023
38145458 :  -1022
38145458 :   1023
38145782 :   1022
38145782 :  -1023
38146190 :  -1022
38146190 :   1023
38147318 :   1022
38147318 :  -1023
38147498 :  -1022
38147498 :   1023
38147918 :   1022
38147918 :  -1023
38148098 :  -1022
38148098 :   1023
38148614 :   1022
38148614 :  -1023
38148950 :  -1022
38148950 :   1023
38150078 :   1022
38150078 :  -1023
38150282 :  -1022
38150282 :   1023
38150846 :   1022
38150846 :  -1023
38151182 :  -1022
38151182 :   1023
38153930 :  -1011
38153930 :   1010
38153942 :  -1012
38153942 :   -137
38154446 :    137
38236058 :   -137
38236214 :    137
38236238 :   -137
38236358 :    137
38236370 :   -137
38236382 :    137
38236394 :   -137
38236430 :    137
38236442 :   -137
38236466 :    137
38236502 :   -137
38236514 :    137
38236526 :   -137
38236538 :    137
38236562 :   -137
38236574 :    137
38236598 :   -137
38236634 :    137
38236646 :   -137
38236682 :    137
38236694 :   -137
38236706 :    137
38236730 :   -137
38236814 :    137
38236838 :   -137
38237558 :    137
38329526 :   1011
38329646 :   -137
38330150 :    137
38331206 :   1012
38331218 :   -137
38331390 :  -1010
38331398 :    137
38331590 :  -1011
38331614 :  -1012
38331614 :   1010
38334614 :   1011
38336186 :   1012
38336198 :   -137
38336366 :  -1010
38336378 :    137
38336906 :   1022
38336906 :  -1023
38340602 :  -1022
38340602 :   1023
38340854 :   1021
38340878 :   1022
38340878 :  -1023
38343758 :  -1022
38343758 :   1023
38343818 :  -1021
38370218 :   1021
38370266 :   1022
38370266 :  -1023
38375750 :  -1022
38375750 :   1023
38375750 :    997
38375810 :  -1021
38375810 :    147
38376170 :   1021
38376182 :   1022
38376182 :  -1023
38392718 :  -1022
38392718 :   1023
38392778 :  -1021
38399354 :   1021
38399366 :   1022
38399366 :  -1023
38401740 :     81
38401802 :  -1022
38401802 :   1023
38401850 :    -85
38402246 :    -81
38402918 :   1022
38402918 :  -1023
38408744 :     82
38408846 :    -82
38409422 :  -1011
38409422 :   1010
38409434 :  -1012
38409434 :  -1021
38409434 :   -137
38409434 :   -147
38409662 :    147
38409662 :  -1022
38409662 :   1023
38409938 :    137
38468810 :   -147
38468810 :   -997
38489162 :   -137
38489306 :    137
38489318 :   -137
38489330 :    137
38489342 :   -137
38489426 :    137
38489438 :   -137
38489474 :    137
38489498 :   -137
38489510 :    137
38489522 :   -137
38489558 :    137
38489570 :   -137
38489594 :    137
38489642 :   -137
38489702 :    137
38489726 :   -137
38489738 :    137
38489762 :   -137
38489774 :    137
38489798 :   -137
38489810 :    137
38489834 :   -137
38490410 :    137
38695022 :   1011
38695142 :   -137
38695646 :    137
38696690 :   1012
38696702 :   -137
38696886 :  -1010
38696894 :    137
38697758 :   1021
38697818 :   1022
38697818 :  -1023
38712866 :  -1022
38712866 :   1023
38712866 :    997
38712926 :  -1021
38712926 :    147
38714366 :   1021
38714378 :   1022
38714378 :  -1023
38722046 :  -1022
38722046 :   1023
38722118 :   1022
38722118 :  -1023
38722742 :  -1022
38722742 :   1023
38722802 :  -1021
38723930 :   1021
38723942 :   1022
38723942 :  -1023
38736650 :  -1022
38736650 :   1023
38736698 :     85
38737022 :   1022
38737022 :  -1023
38739242 :  -1022
38739242 :   1023
38739302 :  -1021
38753006 :   1021
38753018 :   1022
38753018 :  -1023
38763566 :  -1022
38763566 :   1023
38763626 :  -1021
38764286 :   1021
38764298 :   1022
38764298 :  -1023
38765450 :  -1022
38765450 :   1023
38765510 :  -1021
38765552 :     83
38765558 :   1021
38765582 :   1022
38765582 :  -1023
38766062 :    -83
38793698 :  -1022
38793698 :   1023
38793758 :  -1021
38798762 :   1021
38798774 :   1022
38798774 :  -1023
38800274 :  -1022
38800274 :   1023
38800334 :  -1021
38806334 :  -1011
38806334 :   1010
38806346 :  -1012
38806346 :   -137
38806850 :    137
38816654 :   -147
38816654 :   -997
38888558 :   -137
38889074 :    137
38889110 :   -137
38889134 :    137
38889158 :   -137
38889206 :    137
38889218 :   -137
38889230 :    137
38889242 :   -137
38889398 :    137
38889422 :   -137
38890082 :    137
38891018 :   1011
38891858 :  -1011
38892926 :   1011
38894282 :   1012
38894294 :   -137
38894380 :  -1010
38894390 :    137
38895194 :   1021
38895242 :   1022
38895242 :  -1023
38898374 :  -1022
38898374 :   1023
38898434 :  -1021
38899454 :  -1011
38899454 :   1010
38899466 :  -1012
38899466 :   -137
38899970 :    137
38928866 :   1011
38930438 :   1012
38930450 :   -137
38930644 :  -1010
38930654 :    137
38931098 :   1021
38931158 :   1022
38931158 :  -1023
38932802 :  -1022
38932802 :   1023
38932862 :  -1021
38933222 :  -1011
38933222 :   1010
38933234 :   -137
38933246 :  -1012
38933750 :    137
38940926 :   1021
38940938 :  -1021
38941622 :   1011
38943194 :   1012
38943206 :   -137
38943250 :  -1010
38943254 :    137
38943974 :   1021
38944034 :   1022
38944034 :  -1023
38951366 :  -1022
38951366 :   1023
38951366 :    997
38951426 :  -1021
38951426 :    147
38952254 :   1021
38952266 :   1022
38952266 :  -1023
38963630 :  -1022
38963630 :   1023
38963690 :  -1021
38964410 :   1021
38964422 :   1022
38964422 :  -1023
38968586 :  -1022
38968586 :   1023
38968646 :  -1021
38978666 :   -147
38978690 :   1022
38978690 :  -1023
38979494 :  -1022
38979494 :   1023
38979626 :   1022
38979626 :  -1023
38980286 :  -1022
38980286 :   1023
38982470 :   1022
38982470 :  -1023
38983658 :  -1022
38983658 :   1023
38983718 :    147
38984330 :   1021
38984342 :   1022
38984342 :  -1023
38986070 :  -1022
38986070 :   1023
38986130 :  -1021
38994506 :   -147
38994530 :   1022
38994530 :  -1023
38998178 :   -997
38998574 :  -1011
38998574 :   1010
38998586 :   -137
38998598 :  -1012
38998814 :  -1022
38998814 :   1023
38999102 :    137
39007406 :   1011
39008978 :   1012
39008990 :   -137
39009200 :  -1010
39009206 :    137
39010250 :   1022
39010250 :  -1023
39010838 :    997
39014234 :  -1022
39014234 :   1023
39015494 :   1022
39015494 :  -1023
39015854 :  -1022
39015854 :   1023
39015914 :    147
39016886 :   1021
39016898 :   1022
39016898 :  -1023
39019704 :     81
39019778 :  -1022
39019778 :   1023
39019826 :    -85
39020210 :    -81
39020894 :   1022
39020894 :  -1023
39026408 :     82
39026510 :    -82
39037694 :  -1022
39037694 :   1023
39037742 :   1010
39037754 :  -1021
39037754 :   -137
39037886 :  -1011
39037898 :  -1012
39045062 :    137
39045062 :   -147
39045062 :   -997
39058430 :   1011
39060002 :   1012
39060014 :   -137
39060178 :  -1010
39060182 :    137
39060686 :   1021
39060746 :   1022
39060746 :  -1023
39063902 :  -1011
39063902 :   1010
39063914 :  -1012
39063914 :  -1021
39063914 :   -137
39064166 :  -1022
39064166 :   1023
39064418 :    137
39079922 :   1021
39079934 :  -1021
39083786 :   1011
39085346 :   1012
39085358 :   -137
39085504 :  -1010
39085514 :    137
39086006 :   1021
39086066 :   1022
39086066 :  -1023
39097058 :  -1022
39097058 :   1023
39097058 :    997
39097118 :  -1021
39097118 :    147
39097958 :   1021
39097970 :   1022
39097970 :  -1023
39105638 :  -1022
39105638 :   1023
39105698 :  -1021
39105734 :   1021
39105746 :   1022
39105746 :  -1023
39106598 :  -1022
39106598 :   1023
39106658 :  -1021
39107954 :   1021
39107966 :   1022
39107966 :  -1023
39120914 :  -1022
39120914 :   1023
39120974 :  -1021
39135578 :  -1011
39135578 :   1010
39135590 :  -1012
39135590 :   -137
39136094 :    137
39141590 :   -147
39141590 :   -997
39143882 :   1011
39145442 :   1012
39145454 :   -137
39145594 :  -1010
39145598 :    137
39145742 :   1021
39145802 :   1022
39145802 :  -1023
39146834 :  -1022
39146834 :   1023
39146894 :  -1021
39146942 :   1021
39146954 :   1022
39146954 :  -1023
39148598 :  -1022
39148598 :   1023
39148658 :  -1021
39149558 :   1021
39149570 :   1022
39149570 :  -1023
39152426 :  -1022
39152426 :   1023
39152486 :    147
39152486 :    997
39152498 :  -1021
39152954 :   1021
39152978 :   1022
39152978 :  -1023
39166994 :  -1022
39166994 :   1023
39167054 :  -1021
39167762 :   1021
39167774 :   1022
39167774 :  -1023
39168062 :  -1022
39168062 :   1023
39168110 :   1010
39168122 :  -1021
39168122 :   -137
39168950 :  -1011
39168962 :  -1012
39170078 :   1011
39171650 :   1012
39177638 :  -1011
39177650 :  -1012
39183374 :   1021
39183386 :  -1021
39183386 :   -147
39183386 :   -997
39185618 :    137
39187058 :   1011
39188618 :   1012
39188630 :   -137
39188652 :  -1010
39188654 :    137
39189754 :     85
39189758 :   1021
39190106 :   1022
39190106 :  -1023
39198794 :  -1022
39198794 :   1023
39198794 :    997
39198854 :  -1021
39198854 :    147
39210306 :     83
39210314 :   1021
39210326 :   1022
39210326 :  -1023
39210818 :    -83
39244608 :     81
39244682 :  -1022
39244682 :   1023
39244730 :    -85
39245114 :    -81
39245798 :   1022
39245798 :  -1023
39251288 :     82
39251390 :    -82
39255794 :  -1022
39255794 :   1023
39255854 :  -1021
39256478 :   1021
39256490 :   1022
39256490 :  -1023
39257066 :  -1022
39257066 :   1023
39257126 :  -1021
39258494 :   1021
39258506 :   1022
39258506 :  -1023
39266114 :  -1011
39266114 :   1010
39266126 :  -1012
39266126 :  -1021
39266126 :   -137
39266126 :   -147
39266366 :    147
39266366 :  -1022
39266366 :   1023
39266630 :    137
39307502 :   -147
39307502 :   -997
39344558 :   -137
39344654 :    137
39344678 :   -137
39344690 :    137
39344714 :   -137
39344726 :    137
39344750 :   -137
39344822 :    137
39344858 :   -137
39344882 :    137
39344918 :   -137
39344966 :    137
39345002 :   -137
39345014 :    137
39345038 :   -137
39345050 :    137
39345086 :   -137
39345110 :    137
39345122 :   -137
39345170 :    137
39345194 :   -137
39345230 :    137
39345242 :   -137
39345254 :    137
39345266 :   -137
39345278 :    137
39345302 :   -137
39345314 :    137
39345338 :   -137
39345374 :    137
39345398 :   -137
39345578 :    137
39345602 :   -137
39346310 :    137
39350450 :   1011
39351782 :  -1011
39363422 :   1011
39364310 :   1012
39364322 :   -137
39364478 :  -1010
39364490 :    137
39365122 :   1010
39365126 :   -137
39368140 :  -1010
39368150 :    137
39368990 :  -1011
39369014 :  -1012
39369014 :   1010
39369026 :   -137
39369518 :    137
39372206 :   1011
39373778 :   1012
39373790 :   -137
39373808 :  -1010
39373814 :    137
39374162 :   1021
39374210 :   1022
39374210 :  -1023
39374378 :  -1022
39374378 :   1023
39374438 :  -1021
39378794 :   1021
39378818 :   1022
39378818 :  -1023
39383570 :   1000
39384218 :  -1022
39384218 :   1023
39384218 :    997
39384278 :  -1021
39384278 :    147
39384638 :  -1011
39384638 :   1010
39384650 :  -1012
39384650 :   -137
39385154 :    137
39387218 :   -147
39387218 :   -997
39465410 :   -137
39465470 :    137
39465518 :   -137
39465590 :    137
39465602 :   -137
39465614 :    137
39465638 :   -137
39465650 :    137
39465662 :   -137
39465686 :    137
39465698 :   -137
39465722 :    137
39465746 :   -137
39465758 :    137
39465770 :   -137
39465782 :    137
39465794 :   -137
39465806 :    137
39465842 :   -137
39465866 :    137
39465878 :   -137
39465926 :    137
39465962 :   -137
39465974 :    137
39465986 :   -137
39466190 :    137
39466214 :   -137
39466910 :    137
39499910 :   1011
39501590 :   1012
39501602 :   -137
39501784 :  -1010
39501794 :    137
39502718 :   1022
39502718 :  -1023
39503558 :  -1000
39504746 :  -1022
39504746 :   1023
39505082 :   1022
39505082 :  -1023
39509270 :  -1022
39509270 :   1023
39509630 :  -1011
39509630 :   1010
39509642 :  -1012
39509642 :   -137
39510146 :    137
39510602 :   1011
39512174 :   1012
39512186 :   -137
39512396 :  -1010
39512402 :    137
39512894 :   1022
39512894 :  -1023
39521762 :  -1022
39521762 :   1023
39522146 :   1022
39522146 :  -1023
39523082 :  -1022
39523082 :   1023
39523274 :   1022
39523274 :  -1023
39524882 :  -1022
39524882 :   1023
39525146 :   1022
39525146 :  -1023
39540710 :  -1022
39540710 :   1023
39542882 :   1022
39542882 :  -1023
39559142 :  -1022
39559142 :   1023
39560570 :  -1011
39560570 :   1010
39560582 :  -1012
39560582 :   -137
39561086 :    137
39572798 :   1011
39573446 :  -1011
39635906 :   1011
39637466 :   1012
39637478 :   -137
39637504 :  -1010
39637514 :    137
39638414 :   1022
39638414 :  -1023
39640862 :  -1022
39640862 :   1023
39641066 :   1022
39641066 :  -1023
39650066 :  -1022
39650066 :   1023
39650354 :   1022
39650354 :  -1023
39653618 :  -1022
39653618 :   1023
39655490 :   1022
39655490 :  -1023
39656954 :  -1022
39656954 :   1023
39658106 :   1022
39658106 :  -1023
39669374 :  -1022
39669374 :   1023
39675218 :   1022
39675218 :  -1023
39675938 :  -1022
39675938 :   1023
39676058 :   1022
39676058 :  -1023
39692990 :  -1022
39692990 :   1023
39693722 :   1022
39693722 :  -1023
39694250 :  -1022
39694250 :   1023
39694994 :  -1011
39694994 :   1010
39695006 :  -1012
39695006 :   -137
39695510 :    137
39729422 :   1011
39731090 :   1012
39731102 :   -137
39731260 :  -1010
39731270 :    137
39732818 :   1022
39732818 :  -1023
39748970 :  -1022
39748970 :   1023
39749666 :   1022
39749666 :  -1023
39750446 :  -1022
39750446 :   1023
39751898 :  -1011
39751898 :   1010
39751910 :  -1012
39751910 :   -137
39752414 :    137
39768506 :   1011
39770078 :   1012
39770090 :   -137
39770164 :  -1010
39770174 :    137
39770678 :  -1011
39770690 :  -1012
39770690 :   1010
39778814 :   1011
39780374 :   1012
39780386 :   -137
39780442 :  -1010
39780446 :    137
39780518 :   1022
39780518 :  -1023
39794306 :  -1022
39794306 :   1023
39794594 :   1022
39794594 :  -1023
39803378 :  -1022
39803378 :   1023
39812882 :  -1011
39812882 :   1010
39812894 :   -137
39812906 :  -1012
39813410 :    137
39894746 :   -137
39894866 :    137
39894890 :   -137
39895034 :    137
39895058 :   -137
39895130 :    137
39895166 :   -137
39895190 :    137
39895202 :   -137
39895226 :    137
39895238 :   -137
39895250 :    137
39895262 :   -137
39895298 :    137
39895346 :   -137
39895370 :    137
39895394 :   -137
39895406 :    137
39895418 :   -137
39895454 :    137
39895478 :   -137
39895574 :    137
39895598 :   -137
39896246 :    137
40419782 :   -137
40419842 :  -1013
40484402 :   -993
40484402 :    994
40484966 :   1013
40498094 :    137
40502918 :   -994
40502954 :    993
40512950 :   -137
40513010 :  -1013
40535690 :   -993
40535690 :    994
40536278 :   1013
40541354 :   1011
40543034 :   1012
40546142 :  -1011
40546154 :  -1012
40552094 :   1011
40553654 :   1012
40560026 :  -1011
40560038 :  -1012
40561730 :    137
40562594 :   1011
40563506 :  -1011
40565138 :   -994
40565510 :    993
40575170 :   -137
40575230 :  -1013
40592366 :   1013
40593326 :    137
40607498 :   -993
40607498 :    994
40607510 :   -137
40609454 :    137
40610678 :   1011
40612358 :   1012
40612370 :   -137
40612438 :  -1010
40612442 :    137
40613126 :   1021
40613174 :   1022
40613174 :  -1023
40617578 :  -1012
40617578 :   1010
40617590 :  -1021
40617590 :   -137
40617650 :  -1013
40617830 :  -1022
40617830 :   1023
40618346 :  -1011
40618814 :   1011
40623110 :  -1011
40623374 :   1011
40626566 :  -1011
40627754 :   1011
40633862 :  -1011
40637186 :   1011
40646126 :  -1011
40646702 :   1011
40650746 :  -1011
40655114 :   1011
40658258 :  -1011
40661150 :   1011
40666538 :  -1011
40667822 :   -994
40667870 :    994
40667906 :   -994
40667906 :    993
40668482 :   1013
40669682 :    137
40673486 :   1011
40675166 :   1012
40675178 :   -137
40675348 :  -1010
40675358 :    137
40676570 :   1021
40676618 :   1022
40676618 :  -1023
40679402 :  -1011
40679402 :   1010
40679414 :  -1012
40679414 :  -1021
40679414 :   -137
40679654 :  -1022
40679654 :   1023
40679918 :    137
40680662 :   -993
40680662 :    994
40680674 :   -137
40682006 :   1011
40683578 :   1012
40687554 :  -1010
40687562 :    137
40688210 :   1021
40688258 :   1022
40688258 :  -1023
40690682 :  -1012
40690682 :   1010
40690694 :  -1021
40690694 :   -137
40690754 :  -1013
40690934 :  -1022
40690934 :   1023
40693058 :  -1011
40694378 :   1011
40695062 :  -1011
40700018 :   -994
40700186 :    993
40700750 :   1013
40701050 :   1011
40701830 :    137
40705550 :  -1011
40705790 :   1011
40707458 :   1012
40707470 :   -137
40707652 :  -1010
40707662 :    137
40708646 :   1021
40708694 :   1022
40708694 :  -1023
40716746 :   1000
40717418 :  -1022
40717418 :   1023
40717478 :    147
40717478 :    997
40717490 :  -1021
40719374 :  -1011
40719374 :   1010
40719386 :  -1012
40719386 :   -137
40719890 :    137
40722194 :   -993
40722194 :    994
40722206 :   -137
40723814 :   1011
40725374 :   1012
40728514 :  -1010
40728518 :    137
40729334 :   1021
40729358 :  -1021
40730690 :  -1011
40730702 :  -1012
40730702 :   1010
40730714 :   -137
40730882 :   1011
40731206 :    137
40732250 :   -137
40732298 :  -1013
40735238 :  -1011
40745162 :   1013
40746374 :    137
40754870 :   1011
40756538 :   1012
40756550 :   -137
40756732 :  -1010
40756742 :    137
40758230 :   1021
40758290 :   1022
40758290 :  -1023
40759274 :  -1000
40767206 :  -1022
40767206 :   1023
40767278 :   1022
40767278 :  -1023
40772690 :  -1022
40772690 :   1023
40772762 :   1022
40772762 :  -1023
40777178 :  -1022
40777178 :   1023
40777226 :     85
40777550 :   1022
40777550 :  -1023
40780826 :  -1022
40780826 :   1023
40780874 :     83
40780898 :   1022
40780898 :  -1023
40781390 :    -83
40786920 :     81
40786982 :  -1022
40786982 :   1023
40787030 :    -85
40787426 :    -81
40788110 :   1022
40788110 :  -1023
40788884 :     82
40788986 :    -82
40791818 :   1000
40792154 :  -1022
40792154 :   1023
40800506 :   1022
40800506 :  -1023
40800710 :  -1000
40803506 :  -1022
40803506 :   1023
40803578 :   1022
40803578 :  -1023
40804790 :  -1022
40804790 :   1023
40804862 :   1022
40804862 :  -1023
40806842 :  -1022
40806842 :   1023
40806890 :     85
40807214 :   1022
40807214 :  -1023
40809242 :  -1022
40809242 :   1023
40809290 :     83
40809314 :   1022
40809314 :  -1023
40809806 :    -83
40814532 :     81
40814594 :  -1022
40814594 :   1023
40814642 :    -85
40815038 :    -81
40815710 :   1022
40815710 :  -1023
40816532 :     82
40816634 :    -82
40819238 :   1000
40819562 :  -1022
40819562 :   1023
40819634 :   1022
40819634 :  -1023
40819838 :  -1000
40822634 :  -1022
40822634 :   1023
40822706 :   1022
40822706 :  -1023
40823918 :  -1022
40823918 :   1023
40823990 :   1022
40823990 :  -1023
40825970 :  -1022
40825970 :   1023
40826018 :     85
40826342 :   1022
40826342 :  -1023
40828370 :  -1022
40828370 :   1023
40828418 :     83
40828442 :   1022
40828442 :  -1023
40828934 :    -83
40833708 :     81
40833770 :  -1022
40833770 :   1023
40833818 :    -85
40834214 :    -81
40834898 :   1022
40834898 :  -1023
40835708 :     82
40835810 :    -82
40837790 :   1000
40838150 :  -1022
40838150 :   1023
40838906 :   1022
40838906 :  -1023
40839110 :  -1000
40841906 :  -1022
40841906 :   1023
40841978 :   1022
40841978 :  -1023
40843190 :  -1022
40843190 :   1023
40843262 :   1022
40843262 :  -1023
40845242 :  -1022
40845242 :   1023
40845290 :     85
40845614 :   1022
40845614 :  -1023
40847642 :  -1022
40847642 :   1023
40847690 :     83
40847714 :   1022
40847714 :  -1023
40848206 :    -83
40853352 :     81
40853426 :  -1022
40853426 :   1023
40853474 :    -85
40853858 :    -81
40854542 :   1022
40854542 :  -1023
40855316 :     82
40855418 :    -82
40857470 :   1000
40857830 :  -1022
